20170530T144149.879494 Neighbour tiles: flowing_lava, lava, sandstone, flowing_lava
20170530T144150.379544 Neighbour tiles: lava, lava, sandstone, lava
20170530T144150.880594 Neighbour tiles: lava, lava, sandstone, lava
20170530T144151.380644 Neighbour tiles: lava, lava, sandstone, lava
20170530T144151.880694 Neighbour tiles: lava, lava, sandstone, lava
20170530T144152.380744 Neighbour tiles: lava, lava, sandstone, lava
20170530T144152.880794 Neighbour tiles: lava, lava, sandstone, lava
20170530T144153.380844 Neighbour tiles: lava, lava, sandstone, lava
20170530T144153.881894 Neighbour tiles: lava, lava, sandstone, lava
20170530T144154.382944 Neighbour tiles: lava, lava, sandstone, lava
20170530T144154.882994 Neighbour tiles: lava, lava, sandstone, lava
20170530T144155.383044 Neighbour tiles: lava, lava, sandstone, lava
20170530T144155.883094 Neighbour tiles: lava, lava, sandstone, lava
20170530T144156.383144 Neighbour tiles: lava, lava, sandstone, lava
20170530T144156.883194 Neighbour tiles: lava, lava, sandstone, lava
20170530T144157.384244 Neighbour tiles: lava, lava, sandstone, lava
20170530T144157.884294 Neighbour tiles: lava, lava, sandstone, lava
20170530T144158.384344 Neighbour tiles: lava, lava, sandstone, lava
20170530T144158.884394 Neighbour tiles: lava, lava, sandstone, lava
20170530T144159.384444 Neighbour tiles: lava, lava, sandstone, lava
20170530T144159.884494 Neighbour tiles: lava, lava, sandstone, lava
